"variable_id","title","description","register_type","register_address","usable_address","divisor","factor","unit","variable_size","rest_writable","minimum_raw","maximum_raw","default_raw","included_in_definition","mqtt_topic"
843,"Superheat EEV (EB101)","","input",410,true,10,0.1,"°C","s16",false,0,0,0,false,""
844,"EEV-ssh-error (EB101)","","input",411,true,10,0.1,"°C","s16",false,0,0,0,false,""
845,"Superheat temp. reference EEV (EB101)","","input",412,true,10,0.1,"°C","s16",false,0,0,0,false,""
846,"Set point value EEV (EB101)","","input",413,true,10,0.1,"°C","s16",false,0,0,0,false,""
847,"EEV PV (EB101)","","input",414,true,10,0.1,"°C","s16",false,0,0,0,false,""
848,"EEV-te-error average open (EB101)","","input",415,true,10,0.1,"°C","s16",false,0,0,0,false,""
849,"Degree of opening EEV (EB101)","","input",416,true,1,1,"","u16",false,0,0,0,false,""
852,"EEV-ssh-error (EVI)(EB101)","","input",419,true,10,0.1,"°C","s16",false,0,0,0,false,""
856,"EEV-te-error average open in (EVI)(EB101)","","input",423,true,10,0.1,"°C","s16",false,0,0,0,false,""
884,"EVI pressure (EB108-EP14-BP11 dew)","","input",442,true,10,0.1,"°C","s16",false,0,0,0,false,""
886,"Fan status (EB108-EP14)","","input",444,true,1,1,"","u8",false,0,0,0,false,""
887,"Fan rpm (EB108-EP14)","","input",445,true,1,1,"rpm","u16",false,0,0,0,false,""
900,"EVI pressure (EB107-EP14-BP11 dew)","","input",458,true,10,0.1,"°C","s16",false,0,0,0,false,""
902,"Fan status (EB107-EP14)","","input",460,true,1,1,"","u8",false,0,0,0,false,""
903,"Fan rpm (EB107-EP14)","","input",461,true,1,1,"rpm","u16",false,0,0,0,false,""
916,"EVI pressure (EB106-EP14-BP11 dew)","","input",474,true,10,0.1,"°C","s16",false,0,0,0,false,""
918,"Fan status (EB106-EP14)","","input",476,true,1,1,"","u8",false,0,0,0,false,""
919,"Fan rpm (EB106-EP14)","","input",477,true,1,1,"rpm","u16",false,0,0,0,false,""
932,"EVI pressure (EB105-EP14-BP11 dew)","","input",490,true,10,0.1,"°C","s16",false,0,0,0,false,""
934,"Fan status (EB105-EP14)","","input",492,true,1,1,"","u8",false,0,0,0,false,""
935,"Fan rpm (EB105-EP14)","","input",493,true,1,1,"rpm","u16",false,0,0,0,false,""
948,"EVI pressure (EB104-EP14-BP11 dew)","","input",506,true,10,0.1,"°C","s16",false,0,0,0,false,""
950,"Fan status (EB104-EP14)","","input",508,true,1,1,"","u8",false,0,0,0,false,""
951,"Fan rpm (EB104-EP14)","","input",509,true,1,1,"rpm","u16",false,0,0,0,false,""
964,"EVI pressure (EB103-EP14-BP11 dew)","","input",522,true,10,0.1,"°C","s16",false,0,0,0,false,""
966,"Fan status (EB103-EP14)","","input",524,true,1,1,"","u8",false,0,0,0,false,""
967,"Fan rpm (EB103-EP14)","","input",525,true,1,1,"rpm","u16",false,0,0,0,false,""
980,"EVI pressure (EB102-EP14-BP11 dew)","","input",538,true,10,0.1,"°C","s16",false,0,0,0,false,""
982,"Fan status (EB102-EP14)","","input",540,true,1,1,"","u8",false,0,0,0,false,""
983,"Fan rpm (EB102-EP14)","","input",541,true,1,1,"rpm","u16",false,0,0,0,false,""
992,"Low press (EB101 BP8 dew)","","input",550,true,10,0.1,"°C","s16",false,0,0,0,true,"heatpump/lowpressdew"
993,"Hi press (EB101 BP9 dew)","","input",551,true,10,0.1,"°C","s16",false,0,0,0,true,"heatpump/highpressuretemperature"
994,"Injection (EB101-BT81)","","input",552,true,10,0.1,"°C","s16",false,0,0,0,true,"heatpump/injection"
995,"Pressure sensor, injection (EB101-BP11)","","input",553,true,10,0.1,"","s16",false,0,0,0,false,""
996,"EVI pressure (EB101-EP14-BP11 dew)","","input",554,true,10,0.1,"°C","s16",false,0,0,0,false,""
997,"Evaporator (EB101-BT84)","","input",555,true,10,0.1,"°C","s16",false,0,0,0,true,"heatpump/evaporatorout"
998,"Fan status (EB101-EP14)","","input",556,true,1,1,"","u8",false,0,0,0,false,""
999,"Fan rpm (EB101-EP14)","","input",557,true,1,1,"rpm","u16",false,0,0,0,false,""
